Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,ward,jaccard(jaccard),4,4,"{1: {'blue': '14.29%', 'green': '54.19%', 'red': '18.23%', 'yellow': '13.30%'}, 2: {'blue': '52.27%', 'green': '15.44%', 'red': '20.96%', 'yellow': '11.33%'}, 3: {'blue': '14.30%', 'green': '16.84%', 'red': '55.71%', 'yellow': '13.15%'}, 4: {'blue': '23.44%', 'green': '23.58%', 'red': '28.00%', 'yellow': '24.97%'}}",0.1515052959208682,0.5097566988447142,0.652241170266669,42.56055363321799
1,ward,jaccard(jaccard),4,4,"{1: {'blue': '11.86%', 'green': '56.20%', 'red': '9.57%', 'yellow': '22.37%'}, 2: {'blue': '23.23%', 'green': '26.05%', 'red': '20.88%', 'yellow': '29.83%'}, 3: {'blue': '14.81%', 'green': '16.40%', 'red': '10.71%', 'yellow': '58.07%'}, 4: {'blue': '39.00%', 'green': '17.22%', 'red': '21.58%', 'yellow': '22.20%'}}",0.1337754187691039,0.323778806848706,0.44960421967072933,47.354497354497354
2,ward,jaccard(jaccard),4,4,"{1: {'blue': '58.38%', 'green': '14.53%', 'red': '19.11%', 'yellow': '7.98%'}, 2: {'blue': '23.03%', 'green': '31.74%', 'red': '21.49%', 'yellow': '23.74%'}, 3: {'blue': '29.68%', 'green': '19.06%', 'red': '34.95%', 'yellow': '16.31%'}, 4: {'blue': '13.19%', 'green': '9.94%', 'red': '67.30%', 'yellow': '9.56%'}}",0.15745661091885932,0.23583364141613505,0.4410645722419598,57.74378585086042
3,ward,jaccard(jaccard),4,4,"{1: {'blue': '12.80%', 'green': '56.00%', 'red': '18.80%', 'yellow': '12.40%'}, 2: {'blue': '14.66%', 'green': '12.77%', 'red': '53.74%', 'yellow': '18.82%'}, 3: {'blue': '10.09%', 'green': '12.10%', 'red': '17.29%', 'yellow': '60.52%'}, 4: {'blue': '23.52%', 'green': '20.97%', 'red': '29.34%', 'yellow': '26.17%'}}",0.14715649292433033,0.37265870848830296,0.4991193890992023,50.43227665706051
4,ward,jaccard(jaccard),4,4,"{1: {'blue': '17.59%', 'green': '50.16%', 'red': '25.73%', 'yellow': '6.51%'}, 2: {'blue': '32.23%', 'green': '15.68%', 'red': '29.97%', 'yellow': '22.13%'}, 3: {'blue': '6.72%', 'green': '10.85%', 'red': '75.27%', 'yellow': '7.16%'}, 4: {'blue': '25.10%', 'green': '21.48%', 'red': '38.64%', 'yellow': '14.78%'}}",0.18431532147062393,0.08403210707697538,0.2600245655392164,68.54663774403471
5,ward,jaccard(jaccard),4,4,"{1: {'blue': '12.89%', 'green': '11.11%', 'red': '25.33%', 'yellow': '50.67%'}, 2: {'blue': '35.94%', 'green': '25.43%', 'red': '26.06%', 'yellow': '12.58%'}, 3: {'blue': '10.48%', 'green': '14.37%', 'red': '63.62%', 'yellow': '11.53%'}, 4: {'blue': '21.54%', 'green': '22.50%', 'red': '34.58%', 'yellow': '21.38%'}}",0.11506350933885887,0.27839088488368235,0.4339508026202258,53.1437125748503
6,ward,jaccard(jaccard),4,4,"{1: {'blue': '14.46%', 'green': '4.22%', 'red': '68.07%', 'yellow': '13.25%'}, 2: {'blue': '32.32%', 'green': '12.53%', 'red': '25.29%', 'yellow': '29.86%'}, 3: {'blue': '13.64%', 'green': '4.17%', 'red': '10.23%', 'yellow': '71.97%'}, 4: {'blue': '58.32%', 'green': '13.51%', 'red': '12.23%', 'yellow': '15.93%'}}",0.22270573048491565,0.1368270040711889,0.33989701856055304,67.8030303030303
7,ward,jaccard(jaccard),4,4,"{1: {'blue': '55.56%', 'green': '9.40%', 'red': '17.95%', 'yellow': '17.09%'}, 2: {'blue': '17.89%', 'green': '8.94%', 'red': '14.91%', 'yellow': '58.26%'}, 3: {'blue': '17.05%', 'green': '7.80%', 'red': '58.09%', 'yellow': '17.05%'}, 4: {'blue': '27.61%', 'green': '18.57%', 'red': '26.81%', 'yellow': '27.01%'}}",0.16879222204722374,0.21895842041425134,0.4687326760975322,50.28901734104046
8,ward,jaccard(jaccard),4,4,"{1: {'blue': '18.96%', 'green': '17.81%', 'red': '46.97%', 'yellow': '16.27%'}, 2: {'blue': '16.46%', 'green': '47.29%', 'red': '18.74%', 'yellow': '17.51%'}, 3: {'blue': '46.67%', 'green': '17.18%', 'red': '17.40%', 'yellow': '18.76%'}, 4: {'blue': '22.65%', 'green': '23.83%', 'red': '22.94%', 'yellow': '30.57%'}}",0.13211581765559596,0.49590535604791985,0.6091518721554813,30.823117338003502
9,ward,jaccard(jaccard),4,4,"{1: {'blue': '57.33%', 'green': '12.19%', 'red': '13.33%', 'yellow': '17.14%'}, 2: {'blue': '29.30%', 'green': '23.65%', 'red': '18.03%', 'yellow': '29.02%'}, 3: {'blue': '17.22%', 'green': '60.12%', 'red': '9.06%', 'yellow': '13.60%'}, 4: {'blue': '21.95%', 'green': '13.30%', 'red': '51.00%', 'yellow': '13.75%'}}",0.1706023945651213,0.3828395569151787,0.5477540757175998,51.057401812688816
